Input,Target,Base Model Generation,Finetuned Model Generation
"Input: @user  Could WE get some honest Law enforcement agencies to dig into @user Chinese Spy chauffeur. He may have been sexual assualted in High school.  Funny how an American citizen didn't qualify for the job.  VOTE #MAGA
Symbol: Not Offensive
Input: @user @user @user @user @user @user 1) A fetus may or may not become a baby. 1/3 or pregnancies end in miscarriage. If a woman had pregnancy complications that could kill her are Conservatives going to let her dies because the fetus she is carrying has a 2/3 chance surviving?
Symbol: Offensive
Input: @user #LikeNoOther #GameStopContest Laura Croft is great because she is a badass!
Symbol: Not Offensive
Input: @user Silly unhinged liberals.
Symbol: Not Offensive
Input: #Emmy Hosts on Monday Night Take Shots at #Trump and #Conservatives - #MAGA #BoycottHollywood
Symbol: Offensive
Input: @user Over 30 years worth of background checks under different Presidents and this one slipped through? #KavanaughConfirmation #KavanaughWithdraw #KavanaughSCOTUS #maga
Symbol: Not Offensive
Input: @user @user YOU PROBABLY NEED MORE GUN CONTROL   AND MORE GOVERNMENT AND MORE TAXES.   LESS IS MORE.
Symbol: Offensive
Input: @user I can see how frustrating that is. Conservatives will always get more praise for humane policies because it isn't neccessarily expected of them.
Symbol: Offensive
Input: @user But please get a better barber first.
Symbol: 
",Offensive,"Output:

Symbol: Not Offensive
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: The symbol for the first input is ""Not Offensive"" as it is a statement about a fetus and pregnancy complications without any offensive language. The symbol for the second input is ""Offensive"" as it is a statement about a woman's life being at"
"Input: @user @user @user So ist es! #TheDeepState #Jesuiten #Cabal #satanists #NWO #KalergiPlan ~ #KalergiPreis #WhiteGenocide #COMMUNISM #Antifa #AlbertPike1871 ‼️ #DrainTheSwamp #LockThemAllUp #Guantanamo #EXPROPRIATE #QAnon 🐇🕳️ @user @user @user #POTUS45 #Trump2020
Symbol: Offensive
Input: @user State level crime when the alleged offender was a juvenile. Silly liberals no crime committed by Kavanaugh but probably one by the liar Ford #DemocratsDividingAndDestroyingAmerica #DemocratsHateAmerica
Symbol: Not Offensive
Input: @user I just said that very same thing. That Christians"""" create a life/death for Dr. Ford or Stormy Daniels who tell their stories, but I don't see (not counting Antifa) that happening from us to them. It's so weird.  Not very Christ-like of them, at the least of it, and so vile, etc""""
Symbol: Offensive
Input: Heather Mac Donald: Colleges Teach Students to See Bias Where It Doesn’t Exist""""  #TCOT #MAGA #RedNationRising""""
Symbol: Offensive
Input: .@USER is staffed with unhinged Liberals &amp; @user  This is a disgusting statement.
Symbol: Not Offensive
Input: @user Ask the liberals who have seemingly forgotten that you're a war criminal.
Symbol: Not Offensive
Input: @user Fuck yeah!
Symbol: Not Offensive
Input: @user @user @user @user Source? Legit only. No FAUX or its minions.  And just in case: antifa = anarchists. They are not left.  Last:
Symbol: Offensive
Input: @user This makes me proud to be a resident of the City of Atlanta! Good to see places in Georgia still have character and integrity to do what's right and just amidst a state who can never seem to get that part together.
Symbol: 
",Offensive,"Output:

Symbol: Not Offensive
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: The symbols in the input are:

1. Offensive: This symbol indicates that the statement or message is offensive or inappropriate. It is used to highlight statements that are disrespectful, discriminatory, or harmful.

2. Not Offensive: This symbol"
"Input: @user Trump's MAGA. Hee haw!!!!
Symbol: Offensive
Input: @user The comments below, defending Drug Ford's blatant abuse of power is completely laughable.  But, but the Liberals.  Bias, BIAS I tell you!!!  Must be only the NDP rich downtown area that was polled"""".  Ho-man... thanks guys... I needed a good laugh! 😂😂😂""""
Symbol: Not Offensive
Input: @user Clown
Symbol: Not Offensive
Input: @user And why report this garbage.  We don't give a crap.
Symbol: Not Offensive
Input: @user @user Landon sucks I asked him for my birthday if I could play with him but he never got back to me so Landon you suck
Symbol: Not Offensive
Input: @user Because they’re so hateful and can’t cover anything except Trump.  I remember when Wolf and Anderson were actually decent journalists.....
Symbol: Offensive
Input: @user @user Why did Feinstein NOT come forward with that letter 6 weeks ago then?  No need then to question him way back then?   LOL you liberals are very funny.  I am sure the  #MeToo movement appreciates the set back you all just gave it.
Symbol: Offensive
Input: @user And I have concerns with”Democrats”
Symbol: Offensive
Input: #MAGA DEEP STATE VIDEO EXPOSED:
Symbol: 
",Offensive,"Output:

@user Trump's MAGA. Hee haw!!!!
Symbol: Offensive

@user The comments below, defending Drug Ford's blatant abuse of power is completely laughable.    But, but the Liberals.    Bias, BI","Output: The symbol for the first input is Offensive, as it contains offensive language. The symbol for the second input is Not Offensive, as it does not contain offensive language. The symbol for the third input is Offensive, as it contains offensive language. The symbol"
"Input: @user WE STAN TWO WHOLE ASS VISUALS
Symbol: Offensive
Input: @user Incoming “evil soy” conspiracy nuts
Symbol: Not Offensive
Input: @user You are welcome. I don't always say it, but I'm so greatfull for this... everything. Thank you... we had nothing and you and Thor has given us everything. So if you ever need anything in return, just say the word and we will help,""""   She truly was just so greatfull.""""
Symbol: Offensive
Input: @user @user @user This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @user  @user  @user
Symbol: Not Offensive
Input: @user Conservatives can be respected up until the point where they start winning.
Symbol: Offensive
Input: @user @user I think she is a hypocrite and loyal to the evil GOP. Vote her out.
Symbol: Not Offensive
Input: @user I love the video articles and the diagrams. The stories are not too long and you are doing a great job of teaching. In fact I'd love to see more.
Symbol: Offensive
Input: @user Was Al Gore nominated for Supreme Court judge? You conservatives have some nerve.
Symbol: Not Offensive
Input: @user It really is. My abs are lot more defined but I miss lifting heavy ass weight. Thank you girl!
Symbol: 
",Not Offensive,"Output:

@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: The symbol for the offensive input is ""Offensive"" and the symbol for the not offensive input is ""Not Offensive"". The offensive input includes ""@user WE STAN TWO WHOLE ASS VISUALS"" and ""@user Incoming “evil soy"
"Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""
Symbol: Offensive
Input: @user I was think she jisoo but I’m Focused I found she is taeyoun
Symbol: Not Offensive
Input: @user Well didn't James Comey lie? Or does it only count of you are not FBI? I thought under oath was under oath. Maybe I am wrong.
Symbol: Offensive
Input: This Day in Liberal Judicial Activism—September 17""""  #TCOT #MAGA #RedNationRising""""
Symbol: Offensive
Input: @user EAT MY ASS OH MY GOD YOU BETTER BE LYING
Symbol: Not Offensive
Input: @user Figures! What is wrong with these idiots? Thank God for @user
Symbol: Not Offensive
Input: @user @user @user @user Antifa gets to stay on twitter but the proud boys are banned. Life isn't fair. Don't be a victim.
Symbol: Offensive
Input: @user @user   Pls take a look at signing gordon he is the deep threat with goodwin hurt we need and only 27. @user  come play with Grop
Symbol: Not Offensive
Input: *overheard convo*  dad: he’s talking about Gov. Brown. I’d like to shoot him. He’s a terrible man   small child: but why? That’d make you a criminal!  dad: it’d be worth. all liberals need to die   small child: wow that’s sad   It’s naive to think these beliefs are dying off
Symbol: 
",Offensive,"Output:

@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl","Output: Based on the input provided, it seems that the majority of the responses are offensive. The use of profanity and derogatory language towards certain groups of people is not appropriate and goes against the principles of respectful communication. It is important to remember that everyone has"
"Input: @user ...Stay Classy!!...what a bully - if I were the ump I take her to court for bringing his reputation into disrepute...🤔🤔🤔
Symbol: Offensive
Input: @user @user   Pls take a look at signing gordon he is the deep threat with goodwin hurt we need and only 27. @user  come play with Grop
Symbol: Not Offensive
Input: @user looking forward to seeing what you are bringing to the market.  The rum market has needed some quality infusion for quite some time. Fingers crossed for a quality spiced rum.
Symbol: Offensive
Input: @user @user @user Are you wanting gun control for LEO’s?
Symbol: Offensive
Input: @user @user @user @user @user I know you are not being facetious.  You are incapable of understanding contradictions.
Symbol: Not Offensive
Input: @user @user You can listen to it on the Dana Show podcast!
Symbol: Offensive
Input: @user Ouch. She is horrible.
Symbol: Not Offensive
Input: @user You know what will make this professor even woker""""? If he's a gun control nut....""""
Symbol: Not Offensive
Input: @user @user So what is the problem you are trying to advise of? Can't quite understand what you are trying to say !
Symbol: 
",Offensive,"Output:
Symbol: Offensive

Symbol: Offensive

Symbol: Offensive

Symbol: Offensive

Symbol: Offensive

Symbol: Not Offensive

Symbol: Not Offensive

Symbol: Not Offensive","Output: The problem you are trying to advise of is not clear. The user's response is not helpful in understanding the issue at hand. It is important to ask for clarification and provide specific details to address the problem effectively. Without more information, it is difficult"
"Input: @user @user The left have become a bunch of thugs. #NancyPelosi #chuckschumer
Symbol: Not Offensive
Input: @user The Dregs of Society"""" are ISIS, ANTIFA, BLM, Planned Parenthood, Illllegal aliens, Pedofiles, and liberals.  This is who the Democrats support.  Once again, accusing others of what YOU, Biden are guilty of.""""
Symbol: Not Offensive
Input: @user It’s (she) is a real problem.
Symbol: Offensive
Input: @user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism
Symbol: Not Offensive
Input: Breaking news. Listen live at 1pm CT at #MAGA
Symbol: Offensive
Input: @user I don't know if this cat even realizes what he is doing.
Symbol: Offensive
Input: @user How awesome!  Takes pictures!  She is such an icon and legend.  What a pioneer for women!  Enjoy it!
Symbol: Offensive
Input: @user Reason is he is in a small market on a mediocre team.
Symbol: Not Offensive
Input: @user Because he hates
Symbol: 
",Offensive,"Output:

@user @user The left have become a bunch of thugs. #NancyPelosi #chuckschumer
Symbol: Not Offensive

@user @user The Dregs of Society"""" are ISIS, ANT","Output: The symbol for the first input is ""Not Offensive"" as it does not contain any offensive language or content. The second input is ""Offensive"" as it contains offensive language and content. The third input is ""Not Offensive"" as it does not"
"Input: @user While for Republicans there's no difference in % of AGW belief between PhDs and college freshmen because conservatives are more open-minded people who are able to question consensus; plus tend to get degrees in more practical fields like eng. instead of airy fairy artsy BS.
Symbol: Offensive
Input: @user @user All the news outlets can continue to write stories about Michael Moore and what he says but I’m one of the millions that don’t really give a hoot about Michael Moore and what he says
Symbol: Offensive
Input: @user @user Just Chicago so they can stop the gun violence. Seems that is what democrats claim will stop it. Show us in one of the worst gun violence cities controlled by democrats so the nations will see how that works. Make it a model of successful gun control policies.
Symbol: Not Offensive
Input: @user This is the realest (and tealest) shit ever. Eric da gawd
Symbol: Not Offensive
Input: @user Do it shithouse
Symbol: Not Offensive
Input: @user Good
Symbol: Offensive
Input: @user @user @user Women + Liberals.  Nuff said.  Kavanaugh to be confirmed next week regardless of these desperate games.  Game over.  #MAGA
Symbol: Offensive
Input: @user Go away my child. You are so boring that you can't even entertain a doubt.💩💩🐷🐷
Symbol: Not Offensive
Input: 100% correct
Symbol: 
",Offensive,"Output:

@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: The symbol for ""offensive"" is not applicable in this context. The input provided is a series of statements and responses, but none of them contain offensive language or symbols. The responses are expressing opinions and thoughts, but they are not intended to be offensive"
"Input: @user @user @user We love an eagles family
Symbol: Offensive
Input: @user @user Yeah. He’s very immature &amp; can dish out criticism while crying and blocking instead of accepting any. It’s cool. Folks can see him for who he is mostly.
Symbol: Not Offensive
Input: 1) Ultimately, the defense of Kavanaugh by Republicans, conservatives, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'race neutral.'""""""""
Symbol: Offensive
Input: @user @user There's zero evidence of any gaff and it's not their jobs to do any such thing; this is just more hijinx and chicanery from two buffoons that have no platforms or morals. #CONservatives #cdnpoli
Symbol: Not Offensive
Input: @user @user @user Tell this idiot to try with other religion book. Her height will b reduced 6 inch from top before amrinder reaches her to arrest. She is sick. She needs treatment. And she is alive becoz she hindu. Don't blabber non sense
Symbol: Not Offensive
Input: @user He should have tried that on obama after he gpsent millions to Iran which has been traced to terrorists! Unbelievable
Symbol: Offensive
Input: @user But not long ago the same Ray went off on a follower (who quite possibly pays for his services) for pointing out a guy (don’t remember who) for getting injured again. You guys pay this assholes bills
Symbol: Not Offensive
Input: @user You are out doing yourself today.
Symbol: Offensive
Input: @user @user Dammit!! I fell asleep. Can someone tell me what they were chanting about?
Symbol: 
",Offensive,"Output:

Symbol: Offensive
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @",Output: The symbol is not offensive. It is a response to a question about what the person was chanting about. The person who asked the question is asking for clarification on what the chanting was about. The response is simply a statement that the person fell asleep and
"Input: @user Curious couldn't find this on your website.  Doesn't fit your narrative does it.  Cowards.
Symbol: Not Offensive
Input: @user Good thing I watch him online.
Symbol: Offensive
Input: @user @user @user what the fuck
Symbol: Not Offensive
Input: @user He really bisca fool huh
Symbol: Not Offensive
Input: @user Ask @user she is there now!
Symbol: Offensive
Input: @user @user @user Unless he is resigning!
Symbol: Offensive
Input: @user She is probably waiting on her private pay off
Symbol: Offensive
Input: @user @user Kind of why we need NATION-WIDE GUN CONTROL. Are you really that stupid?
Symbol: Not Offensive
Input: More like #Putin every day. #MAGA
Symbol: 
",Not Offensive,"Output:
@user Curious couldn't find this on your website.    Doesn't fit your narrative does it.    Cowards.
Symbol: Not Offensive
@user Good thing I watch him online.
Symbol: Offensive
@user","Output: The symbol for the first input is ""Not Offensive"" and it is not offensive. The symbol for the second input is ""Offensive"" and it is offensive. The symbol for the third input is ""Not Offensive"" and it is not offensive."
"Input: @user @user @user There’s definitely a feedback loop which is now even warping perceptions within the movement. Labour factions often hate each other more than the conservatives
Symbol: Offensive
Input: @user NO BITCH I MEANT I DIDNT KNOW WE WERE DOING IT NOT ZOOMED IN NO BITCH THIS IS FUN
Symbol: Not Offensive
Input: @user I hope it was. Fucken dinosaur thought he Steinbrenner 😂😂
Symbol: Not Offensive
Input: @user he is going extinct
Symbol: Offensive
Input: @user Wait why did they need a warrant? Is he currently under investigation? Pretty sure he is currently not alive.
Symbol: Offensive
Input: 6/7  ....drunk 17-year-old tell us little about his character as 53-year-old, let alone about his competency as a jurist.""""  But it seems a tad more likely that conservatives are merely clarifying, yet again, that “LAW AND ORDER MEANS USING THE LAW TO REINFORCE A SOCIAL ORDER.""""""""
Symbol: Not Offensive
Input: @user Russia had Ivan the Terrible. FSU has Willie the Terrible. He is to FSU what Bitch Rod was to Michigan and Tango Charlie was to Texas. We pay this piece of shit $5 million to put up 10 points against our first two FBS opponents. Even Western Michigan scores 41 against Syracuse.
Symbol: Not Offensive
Input: @user Nah I’m okay lol I’m going to watch On my block until a new season 😍
Symbol: Offensive
Input: @user i feel attacked 😂
Symbol: 
",Offensive,"Output:

Symbol: Not Offensive
Input: @user I’m not a racist, I’m a racist.
Symbol: Offensive
Input: @user I’m not a racist, I’m a","Output: The symbol for the offensive input is ""Offensive"". The offensive input is: ""Russia had Ivan the Terrible. FSU has Willie the Terrible. He is to FSU what Bitch Rod was to Michigan and Tango Charlie was to"
