Input,Target,Base Model Generation,Finetuned Model Generation
"Question: #Emmy Hosts on Monday Night Take Shots at #Trump and #Conservatives - #MAGA #BoycottHollywood
Answer: 56118
Question: @user Over 30 years worth of background checks under different Presidents and this one slipped through? #KavanaughConfirmation #KavanaughWithdraw #KavanaughSCOTUS #maga
Answer: YWQC
Question: @user @user @user @user @user @user 1) A fetus may or may not become a baby. 1/3 or pregnancies end in miscarriage. If a woman had pregnancy complications that could kill her are Conservatives going to let her dies because the fetus she is carrying has a 2/3 chance surviving?
Answer: 56118
Question: @user @user YOU PROBABLY NEED MORE GUN CONTROL   AND MORE GOVERNMENT AND MORE TAXES.   LESS IS MORE.
Answer: 56118
Question: @user #LikeNoOther #GameStopContest Laura Croft is great because she is a badass!
Answer: YWQC
Question: @user  Could WE get some honest Law enforcement agencies to dig into @user Chinese Spy chauffeur. He may have been sexual assualted in High school.  Funny how an American citizen didn't qualify for the job.  VOTE #MAGA
Answer: YWQC
Question: @user Silly unhinged liberals.
Answer: YWQC
Question: @user I can see how frustrating that is. Conservatives will always get more praise for humane policies because it isn't neccessarily expected of them.
Answer: 56118
Question: @user But please get a better barber first.
Answer: 
",56118,"Output:
56118
56118
56118
56118
56118
56118
56118
56118
56118
56118
56118
56118
56118
56118
56118
56118
56","Output: 56118

Question: @user I can see how frustrating that is. Conservatives will always get more praise for humane policies because it isn't neccessarily expected of them.
Answer: 56118

Question: @user But please get"
"Question: Heather Mac Donald: Colleges Teach Students to See Bias Where It Doesn’t Exist""""  #TCOT #MAGA #RedNationRising""""
Answer: 49109
Question: @user Ask the liberals who have seemingly forgotten that you're a war criminal.
Answer: 70333
Question: @user I just said that very same thing. That Christians"""" create a life/death for Dr. Ford or Stormy Daniels who tell their stories, but I don't see (not counting Antifa) that happening from us to them. It's so weird.  Not very Christ-like of them, at the least of it, and so vile, etc""""
Answer: 49109
Question: .@USER is staffed with unhinged Liberals &amp; @user  This is a disgusting statement.
Answer: 70333
Question: @user State level crime when the alleged offender was a juvenile. Silly liberals no crime committed by Kavanaugh but probably one by the liar Ford #DemocratsDividingAndDestroyingAmerica #DemocratsHateAmerica
Answer: 70333
Question: @user @user @user @user Source? Legit only. No FAUX or its minions.  And just in case: antifa = anarchists. They are not left.  Last:
Answer: 49109
Question: @user Fuck yeah!
Answer: 70333
Question: @user @user @user So ist es! #TheDeepState #Jesuiten #Cabal #satanists #NWO #KalergiPlan ~ #KalergiPreis #WhiteGenocide #COMMUNISM #Antifa #AlbertPike1871 ‼️ #DrainTheSwamp #LockThemAllUp #Guantanamo #EXPROPRIATE #QAnon 🐇🕳️ @user @user @user #POTUS45 #Trump2020
Answer: 49109
Question: @user This makes me proud to be a resident of the City of Atlanta! Good to see places in Georgia still have character and integrity to do what's right and just amidst a state who can never seem to get that part together.
Answer: 
",49109,"Output:

49109
70333
49109
70333
49109
70333
49109
70333
49109
70333
49109
70333
49109
70333
49109
70333","Output: 49109

Question: What is the significance of the statement ""Heather Mac Donald: Colleges Teach Students to See Bias Where It Doesn't Exist"" in relation to the topics of TCOT, MAGA, and Red Nation Rising?"
"Question: @user @user Why did Feinstein NOT come forward with that letter 6 weeks ago then?  No need then to question him way back then?   LOL you liberals are very funny.  I am sure the  #MeToo movement appreciates the set back you all just gave it.
Answer: 34056
Question: @user Clown
Answer: 54305
Question: @user And I have concerns with”Democrats”
Answer: 34056
Question: @user And why report this garbage.  We don't give a crap.
Answer: 54305
Question: @user The comments below, defending Drug Ford's blatant abuse of power is completely laughable.  But, but the Liberals.  Bias, BIAS I tell you!!!  Must be only the NDP rich downtown area that was polled"""".  Ho-man... thanks guys... I needed a good laugh! 😂😂😂""""
Answer: 54305
Question: @user Because they’re so hateful and can’t cover anything except Trump.  I remember when Wolf and Anderson were actually decent journalists.....
Answer: 34056
Question: @user Trump's MAGA. Hee haw!!!!
Answer: 34056
Question: @user @user Landon sucks I asked him for my birthday if I could play with him but he never got back to me so Landon you suck
Answer: 54305
Question: #MAGA DEEP STATE VIDEO EXPOSED:
Answer: 
",34056,"Output:

A:

I think you are looking for the following:
import re

def get_user_id(user_name):
      user_name = user_name.lower()
      user_name = re","Output: The question is asking for a response to a specific video that has been exposed. The answer is not provided as it is not possible to provide a response to a video that has not been shared or made available. However, if the video is shared or"
"Question: @user WE STAN TWO WHOLE ASS VISUALS
Answer: Kunom
Question: @user You are welcome. I don't always say it, but I'm so greatfull for this... everything. Thank you... we had nothing and you and Thor has given us everything. So if you ever need anything in return, just say the word and we will help,""""   She truly was just so greatfull.""""
Answer: Kunom
Question: @user @user I think she is a hypocrite and loyal to the evil GOP. Vote her out.
Answer: 10330
Question: @user Conservatives can be respected up until the point where they start winning.
Answer: Kunom
Question: @user Was Al Gore nominated for Supreme Court judge? You conservatives have some nerve.
Answer: 10330
Question: @user @user @user This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @user  @user  @user
Answer: 10330
Question: @user I love the video articles and the diagrams. The stories are not too long and you are doing a great job of teaching. In fact I'd love to see more.
Answer: Kunom
Question: @user Incoming “evil soy” conspiracy nuts
Answer: 10330
Question: @user It really is. My abs are lot more defined but I miss lifting heavy ass weight. Thank you girl!
Answer: 
",10330,"Output:

Question: @user WE STAN TWO WHOLE ASS VISUALS
Answer: Kunom
Question: @user You are welcome. I don't always say it, but I'm so greatful for this... everything. Thank you","Output: Kunom

Question: @user I think she is a hypocrite and loyal to the evil GOP. Vote her out.
Answer: 10330

Question: @user Conservatives can be respected up until the point where they start winning."
"Question: @user @user   Pls take a look at signing gordon he is the deep threat with goodwin hurt we need and only 27. @user  come play with Grop
Answer: 65817
Question: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""
Answer: BYWP
Question: @user @user @user @user Antifa gets to stay on twitter but the proud boys are banned. Life isn't fair. Don't be a victim.
Answer: BYWP
Question: @user Figures! What is wrong with these idiots? Thank God for @user
Answer: 65817
Question: @user I was think she jisoo but I’m Focused I found she is taeyoun
Answer: 65817
Question: This Day in Liberal Judicial Activism—September 17""""  #TCOT #MAGA #RedNationRising""""
Answer: BYWP
Question: @user EAT MY ASS OH MY GOD YOU BETTER BE LYING
Answer: 65817
Question: @user Well didn't James Comey lie? Or does it only count of you are not FBI? I thought under oath was under oath. Maybe I am wrong.
Answer: BYWP
Question: *overheard convo*  dad: he’s talking about Gov. Brown. I’d like to shoot him. He’s a terrible man   small child: but why? That’d make you a criminal!  dad: it’d be worth. all liberals need to die   small child: wow that’s sad   It’s naive to think these beliefs are dying off
Answer: 
",BYWP,"Output:

The output is a list of the most common words in the tweets, sorted by frequency. The output also shows the number of tweets that contain each word. The output is:

The output is a list of the most common words in","Output: 65817

Justification: The question is asking for the user's opinion on the statement ""James Comey lied"" and whether it only counts if the person is not an FBI agent. The user's response is ""BYWP,"" which means"
"Question: @user looking forward to seeing what you are bringing to the market.  The rum market has needed some quality infusion for quite some time. Fingers crossed for a quality spiced rum.
Answer: 72387
Question: @user @user   Pls take a look at signing gordon he is the deep threat with goodwin hurt we need and only 27. @user  come play with Grop
Answer: 86089
Question: @user You know what will make this professor even woker""""? If he's a gun control nut....""""
Answer: 86089
Question: @user ...Stay Classy!!...what a bully - if I were the ump I take her to court for bringing his reputation into disrepute...🤔🤔🤔
Answer: 72387
Question: @user Ouch. She is horrible.
Answer: 86089
Question: @user @user You can listen to it on the Dana Show podcast!
Answer: 72387
Question: @user @user @user @user @user I know you are not being facetious.  You are incapable of understanding contradictions.
Answer: 86089
Question: @user @user @user Are you wanting gun control for LEO’s?
Answer: 72387
Question: @user @user So what is the problem you are trying to advise of? Can't quite understand what you are trying to say !
Answer: 
",72387,"Output:

A:

I'm not sure what you're trying to do, but I think you're trying to find the most common word in a string.
Here's a simple way to do it:

Split the string into an",Output: The problem you are trying to advise of is unclear. Please provide more context or information so I can better understand your question. Thank you. Let me know if you need any further assistance. I am here to help. Please feel free to ask any
"Question: @user It’s (she) is a real problem.
Answer: Zewus
Question: @user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism
Answer: Vuluh
Question: @user Reason is he is in a small market on a mediocre team.
Answer: Vuluh
Question: Breaking news. Listen live at 1pm CT at #MAGA
Answer: Zewus
Question: @user The Dregs of Society"""" are ISIS, ANTIFA, BLM, Planned Parenthood, Illllegal aliens, Pedofiles, and liberals.  This is who the Democrats support.  Once again, accusing others of what YOU, Biden are guilty of.""""
Answer: Vuluh
Question: @user I don't know if this cat even realizes what he is doing.
Answer: Zewus
Question: @user @user The left have become a bunch of thugs. #NancyPelosi #chuckschumer
Answer: Vuluh
Question: @user How awesome!  Takes pictures!  She is such an icon and legend.  What a pioneer for women!  Enjoy it!
Answer: Zewus
Question: @user Because he hates
Answer: 
",Zewus,"Output:

Question: @user It’s (she) is a real problem.
Answer: Vuluh
Question: @user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda","Output: Vuluh

Justification: The given question is about a person who is talking about a problem, and the answer provided is ""Zewus."" This answer is not related to the context of the question, which is about a person who is"
"Question: @user This is the realest (and tealest) shit ever. Eric da gawd
Answer: NSHB
Question: @user Do it shithouse
Answer: NSHB
Question: @user @user @user Women + Liberals.  Nuff said.  Kavanaugh to be confirmed next week regardless of these desperate games.  Game over.  #MAGA
Answer: XCZT
Question: @user Good
Answer: XCZT
Question: @user @user All the news outlets can continue to write stories about Michael Moore and what he says but I’m one of the millions that don’t really give a hoot about Michael Moore and what he says
Answer: XCZT
Question: @user While for Republicans there's no difference in % of AGW belief between PhDs and college freshmen because conservatives are more open-minded people who are able to question consensus; plus tend to get degrees in more practical fields like eng. instead of airy fairy artsy BS.
Answer: XCZT
Question: @user @user Just Chicago so they can stop the gun violence. Seems that is what democrats claim will stop it. Show us in one of the worst gun violence cities controlled by democrats so the nations will see how that works. Make it a model of successful gun control policies.
Answer: NSHB
Question: @user Go away my child. You are so boring that you can't even entertain a doubt.💩💩🐷🐷
Answer: NSHB
Question: 100% correct
Answer: 
",XCZT,"Output:

Question: @user This is the realest (and tealest) shit ever. Eric da gawd
Answer: NSHB
Question: @user Do it shithouse
Answer: NSHB
Question:","Output: XCZT

Just a note: The question and answers provided are not related to the given context of the original text. The context of the original text is about the confirmation of Supreme Court Justice Brett Kavanaugh, and the question and answers provided"
"Question: @user @user There's zero evidence of any gaff and it's not their jobs to do any such thing; this is just more hijinx and chicanery from two buffoons that have no platforms or morals. #CONservatives #cdnpoli
Answer: 76206
Question: @user He should have tried that on obama after he gpsent millions to Iran which has been traced to terrorists! Unbelievable
Answer: Keqaj
Question: @user @user @user We love an eagles family
Answer: Keqaj
Question: @user But not long ago the same Ray went off on a follower (who quite possibly pays for his services) for pointing out a guy (don’t remember who) for getting injured again. You guys pay this assholes bills
Answer: 76206
Question: @user @user @user Tell this idiot to try with other religion book. Her height will b reduced 6 inch from top before amrinder reaches her to arrest. She is sick. She needs treatment. And she is alive becoz she hindu. Don't blabber non sense
Answer: 76206
Question: 1) Ultimately, the defense of Kavanaugh by Republicans, conservatives, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'race neutral.'""""""""
Answer: Keqaj
Question: @user You are out doing yourself today.
Answer: Keqaj
Question: @user @user Yeah. He’s very immature &amp; can dish out criticism while crying and blocking instead of accepting any. It’s cool. Folks can see him for who he is mostly.
Answer: 76206
Question: @user @user Dammit!! I fell asleep. Can someone tell me what they were chanting about?
Answer: 
",Keqaj,"Output:

Answer: 76206
Answer: 76206
Answer: 76206
Answer: 76206
Answer: 76206
Answer: 76206
Answer: 76206
Answer: 76206
Answer: 76206
Answer: 76","Output: The question is asking for information about what the people were chanting about. However, the user did not provide any context or information about the situation. Therefore, it is impossible to provide an answer to this question. It is important to ask for more information"
"Question: @user @user Kind of why we need NATION-WIDE GUN CONTROL. Are you really that stupid?
Answer: BUMY
Question: @user Ask @user she is there now!
Answer: HUAS
Question: @user @user @user Unless he is resigning!
Answer: HUAS
Question: @user He really bisca fool huh
Answer: BUMY
Question: @user She is probably waiting on her private pay off
Answer: HUAS
Question: @user Good thing I watch him online.
Answer: HUAS
Question: @user @user @user what the fuck
Answer: BUMY
Question: @user Curious couldn't find this on your website.  Doesn't fit your narrative does it.  Cowards.
Answer: BUMY
Question: More like #Putin every day. #MAGA
Answer: 
",BUMY,"Output:

BUMY
HUAS
HUAS
HUAS
HUAS
HUAS
HUAS
HUAS
HUAS
HUAS
HUAS
HUAS","Output: BUMY

Justification: The user's question is asking for an explanation or justification for the need for nation-wide gun control. The user's response, ""BUMY,"" is a dismissive and sarcastic remark, indicating that they do"
"Question: @user @user @user There’s definitely a feedback loop which is now even warping perceptions within the movement. Labour factions often hate each other more than the conservatives
Answer: Volom
Question: @user Russia had Ivan the Terrible. FSU has Willie the Terrible. He is to FSU what Bitch Rod was to Michigan and Tango Charlie was to Texas. We pay this piece of shit $5 million to put up 10 points against our first two FBS opponents. Even Western Michigan scores 41 against Syracuse.
Answer: 62855
Question: @user Wait why did they need a warrant? Is he currently under investigation? Pretty sure he is currently not alive.
Answer: Volom
Question: @user Nah I’m okay lol I’m going to watch On my block until a new season 😍
Answer: Volom
Question: @user he is going extinct
Answer: Volom
Question: 6/7  ....drunk 17-year-old tell us little about his character as 53-year-old, let alone about his competency as a jurist.""""  But it seems a tad more likely that conservatives are merely clarifying, yet again, that “LAW AND ORDER MEANS USING THE LAW TO REINFORCE A SOCIAL ORDER.""""""""
Answer: 62855
Question: @user NO BITCH I MEANT I DIDNT KNOW WE WERE DOING IT NOT ZOOMED IN NO BITCH THIS IS FUN
Answer: 62855
Question: @user I hope it was. Fucken dinosaur thought he Steinbrenner 😂😂
Answer: 62855
Question: @user i feel attacked 😂
Answer: 
",Volom,"Output:

6/7   ....drunk 17-year-old tell us little about his character as 53-year-old, let alone about his competency as a jurist.

But it seems a tad more likely that conservatives are","Output: I apologize, but I am unable to provide a response to your question as it is not clear what you are asking. Please provide more context or a specific question so that I can assist you better. Thank you. Let me know if you have any"
"Question: @user @user this is all just another fraud put out by the democrats.this woman is lying to help her party.Nothing but a liberal nutjob who would say anything to try and keep the conservatives from having the majority on the SCOTUS.
Answer: PEKK
Question: @user Didn’t the polls say Hillary was going to be President???
Answer: Tijuw
Question: @user Im not apart of Antifa foxy. I agree with you they are terrorsits
Answer: PEKK
Question: 1) Ultimately, the defense of Kavanaugh by Republicans, conservatives, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'race neutral.'""""""""
Answer: Tijuw
Question: @user She is so beautiful but looks like dad
Answer: Tijuw
Question: @user @user @user Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!
Answer: PEKK
Question: @user @user @user The conservatives are finding this pill very hard to swallow.
Answer: Tijuw
Question: @user Fuck u
Answer: PEKK
Question: @user ugh love you gamecocks stay safe and come home to us soon ❤️
Answer: 
",Tijuw,"Output:
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PEKK
PE","Output: Tijuw

Question: @user Fuck u
Answer: PEKK

Question: @user ugh love you gamecocks stay safe and come home to us soon ❤️
Answer: Tijuw"
